Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Design-Kerze-mit-Muenze-Lavendel.jpg?v=1648379917,2,,,,,,,,,,,,,,,,,,,,,,
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-Of-Wisdom-Samarit-lavendel.jpg?v=1648379917,3,,,,,,,,,,,,,,,,,,,,,,
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Object-Candle-Burning-Buddha_lavendel_3837cd9e-837c-44ad-9115-7ec6321f4998.jpg?v=1648379917,4,Design Kerze mit Münze,,,,,,,,,,,,,,,,,,,,,
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Prisma-Candle-Lavendel-Candles-of-Wisdom.jpg?v=1648379917,5,,,,,,,,,,,,,,,,,,,,,,
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-buddha-Wisdom-Candle3.jpg?v=1648379917,6,Burning Buddha Candles of Wisdom,,,,,,,,,,,,,,,,,,,,,
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom_Coin_of_Wisdom_ebfebc5f-21f8-4d18-ab3c-2489842070d0.jpg?v=1648379917,7,,,,,,,,,,,,,,,,,,,,,,
prismacandle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom-Verpackung_26690851-0067-41c0-8b17-39a628b6b5ba.jpg?v=1648379917,8,,,,,,,,,,,,,,,,,,,,,,
lavender-buddha-kerze,Meister Candle Lavendel,"<p><span>Der Meister ist mehr als nur eine Kerze. Er steckt voller </span><strong><span><a href=""https://candlesofwisdom.com/pages/info"" title=""Symbolik und Philosophie"" target=""_blank"">Symbolik</a></span></strong><span> und spielt mit der Vergänglichkeit der Schönheit. Zündest Du die Kerze an oder ist sie zu schade dazu? Einfach ist die Entscheidung nicht, doch der Meister lockt mit einer Besonderheit und belohnt diejenigen die sich trauen: Nach dem Wegschmelzen offenbart er eine Glücksmünze, auf der alte Weisheiten verewigt sind.</span><br><br><strong>Material:</strong><span> Rapswachs Komposition mit Paraffinanteil, Baumwolldocht, Metallmünze</span><br><strong>Farbe:</strong><span> Durchgefärbt lavendel, RAL Kerzengüte Qualität</span><br><strong>Brenndauer:</strong><span> 30h</span><br><strong>Größe:</strong><span>19cm</span><br><strong>Geruch:<span> </span></strong><span>neutral</span></p>",burningbuddha,,Buddha Candle,"__tab1:philosophie, Buddha, candle, coin, free, handmade, Kerze, noplastic, sustainable",true,Title,Default Title,,,,,BB-Lavender,430.0,shopify,18,deny,manual,39.90,,true,true,'633710796514,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Lavendel-Kerze.png?v=1648331252,1,Lavendel Trendfarbe Kerze,false,Meister Candle Lavendel - Candles of Wisdom,"Die Buddha Kerze - eine großartige Geschenkidee für Yoga und Meditation Fans. Sie ist mehr als nur ein Lichtsprender, denn sie steckt voller Symbolik und spielt mit der Vergänglichkeit der. Nach dem Wegschmelzen wird eine Glücksmünze offenbart, auf der alte Weisheiten verewigt sind - Nach Glückskeksprinzip",,,,,,,,,,,,,,,kg,,3.90,active
lavender-buddha-kerze,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Candles-of-Wisdom--Meister-Kerze-Lavendel.jpg?v=1648331252,2,burning buddha,,,,,,,,,,,,,,,,,,,,,
lavender-buddha-kerze,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Candle.jpg?v=1648331252,3,Burning Buddha,,,,,,,,,,,,,,,,,,,,,
